"","STATE","COUNTY","STNAME","CTYNAME","POPESTIMATE2019","FIPS","Confirmed","Deaths","case_rate","death_rate_conf","death_rate_pop","Mines","Mines.Label"
"1","01","007","Alabama","Bibb County",22394,"01007",33,0,147.360900241136,0,0,1,TRUE
"2","01","057","Alabama","Fayette County",16302,"01057",4,0,24.5368666421298,0,0,1,TRUE
"3","01","073","Alabama","Jefferson County",658573,"01073",778,32,118.134208356553,0.0411311053984576,4.85899057507672,7,TRUE
"4","01","093","Alabama","Marion County",29709,"01093",67,5,225.520885926824,0.0746268656716418,16.8299168602107,1,TRUE
"5","01","117","Alabama","Shelby County",217702,"01117",283,7,129.994212271821,0.0247349823321555,3.21540454382596,3,TRUE
"6","01","125","Alabama","Tuscaloosa County",209355,"01125",173,1,82.6347591411717,0.00578034682080925,0.47765756729001,3,TRUE
"7","01","127","Alabama","Walker County",63521,"01127",89,0,140.111144345964,0,0,12,TRUE
"8","02","068","Alaska","Denali Borough",2097,"02068",NA,NA,NA,NA,NA,1,TRUE
"9","04","017","Arizona","Navajo County",110924,"04017",564,13,508.45624030868,0.0230496453900709,11.7197360354838,1,TRUE
"10","08","051","Colorado","Gunnison County",17462,"08051",121,4,692.933226434544,0.0330578512396694,22.9068835184973,1,TRUE
"11","08","067","Colorado","La Plata County",56221,"08067",55,0,97.8282136568186,0,0,1,TRUE
"12","08","081","Colorado","Moffat County",13283,"08081",6,0,45.1705187081232,0,0,2,TRUE
"13","08","103","Colorado","Rio Blanco County",6324,"08103",1,0,15.8127767235927,0,0,1,TRUE
"14","08","107","Colorado","Routt County",25638,"08107",52,2,202.82393322412,0.0384615384615385,7.80092050862002,1,TRUE
"15","17","055","Illinois","Franklin County",38469,"17055",8,0,20.795965582677,0,0,1,TRUE
"16","17","059","Illinois","Gallatin County",4828,"17059",2,0,41.4250207125104,0,0,1,TRUE
"17","17","065","Illinois","Hamilton County",8116,"17065",2,0,24.6426811237063,0,0,1,TRUE
"18","17","107","Illinois","Logan County",28618,"17107",4,0,13.9772171360682,0,0,1,TRUE
"19","17","117","Illinois","Macoupin County",44926,"17117",24,0,53.4211814984641,0,0,1,TRUE
"20","17","145","Illinois","Perry County",20916,"17145",3,0,14.3430866322433,0,0,5,TRUE
"21","17","157","Illinois","Randolph County",31782,"17157",68,1,213.957586055,0.0147058823529412,3.14643508904411,3,TRUE
"22","17","165","Illinois","Saline County",23491,"17165",3,0,12.7708484100294,0,0,3,TRUE
"23","17","185","Illinois","Wabash County",11520,"17185",1,0,8.68055555555556,0,0,1,TRUE
"24","17","189","Illinois","Washington County",13887,"17189",7,0,50.4068553323252,0,0,1,TRUE
"25","17","199","Illinois","Williamson County",66597,"17199",19,0,28.5298136552698,0,0,1,TRUE
"26","18","021","Indiana","Clay County",26225,"18021",19,1,72.4499523355577,0.0526315789473684,3.81315538608198,1,TRUE
"27","18","027","Indiana","Daviess County",33351,"18027",38,7,113.939612005637,0.184210526315789,20.9888758957752,2,TRUE
"28","18","037","Indiana","Dubois County",42736,"18037",16,0,37.4391613627855,0,0,2,TRUE
"29","18","051","Indiana","Gibson County",33659,"18051",6,0,17.8258415282688,0,0,4,TRUE
"30","18","083","Indiana","Knox County",36594,"18083",18,0,49.1883915395967,0,0,2,TRUE
"31","18","125","Indiana","Pike County",12389,"18125",1,0,8.07167648720639,0,0,1,TRUE
"32","18","153","Indiana","Sullivan County",20669,"18153",10,0,48.3816343316077,0,0,1,TRUE
"33","18","173","Indiana","Warrick County",62998,"18173",77,9,122.22610241595,0.116883116883117,14.2861678148513,5,TRUE
"34","21","013","Kentucky","Bell County",26032,"21013",NA,NA,NA,NA,NA,7,TRUE
"35","21","025","Kentucky","Breathitt County",12630,"21025",2,0,15.8353127474268,0,0,2,TRUE
"36","21","059","Kentucky","Daviess County",101511,"21059",133,3,131.020283516072,0.0225563909774436,2.95534474096403,2,TRUE
"37","21","065","Kentucky","Estill County",14106,"21065",NA,NA,NA,NA,NA,1,TRUE
"38","21","071","Kentucky","Floyd County",35589,"21071",4,0,11.2394279131192,0,0,9,TRUE
