"","COUNTY_CODE","Avg.Max.Ozone","Avg.Ozone.AQI","Avg.Mean.PM25","Avg.PM25.AQI","SITE_LATITUDE","SITE_LONGITUDE","FIPS","STATE","COUNTY","STNAME","CTYNAME","POPESTIMATE2019","Confirmed","Deaths","case_rate","death_rate_conf","death_rate_pop","Mines"
"1",1,0.0376028708133971,34.8516746411483,8.2392523364486,33.2242990654206,39.9210337446835,-77.3090613798734,"42001","42","001","Pennsylvania","Adams County",103009,74,1,71.8383830539079,0.0135135135135135,0.970788960187945,0
"2",3,0.033015625,30.571875,9.79085173501577,38.583596214511,40.4473878501256,-79.9248464392308,"42003","42","003","Pennsylvania","Allegheny County",1216045,1009,47,82.9739031039147,0.0465807730426165,3.8649885489435,0
"3",5,0.0326530612244898,30.2244897959184,8.3925,34.275,40.81418262,-79.56474978,"42005","42","005","Pennsylvania","Armstrong County",64735,36,2,55.6113385340233,0.0555555555555556,3.08951880744574,5
"4",7,0.0350967741935484,32.4967741935484,8.87628865979381,36.0618556701031,40.6848101482555,-80.3752369907617,"42007","42","007","Pennsylvania","Beaver County",163929,278,31,169.5856132838,0.111510791366906,18.9106259417187,0
"5",11,0.0321442307692308,29.7644230769231,10.652380952381,42,40.4427208296943,-75.8873623755458,"42011","42","011","Pennsylvania","Berks County",421164,1748,40,415.040221861318,0.022883295194508,9.49748791444663,0
"6",13,0.036234693877551,33.5510204081633,7.79158878504673,31.411214953271,40.535278,-78.370833,"42013","42","013","Pennsylvania","Blair County",121829,14,0,11.4915167981351,0,0,0
"7",15,0.0375392156862745,34.7647058823529,6.75192307692308,27.6442307692308,41.705226,-76.512726,"42015","42","015","Pennsylvania","Bradford County",60323,24,0,39.7858196707723,0,0,0
"8",17,0.0347333333333333,32.1238095238095,NA,NA,40.107222,-74.882222,"42017","42","017","Pennsylvania","Bucks County",628270,1689,75,268.83346331991,0.044404973357016,11.9375427761949,0
"9",21,0.0299345794392523,27.7476635514019,8.73644859813084,35.0280373831776,40.309722,-78.915,"42021","42","021","Pennsylvania","Cambria County",130192,17,1,13.0576379501045,0.0588235294117647,0.768096350006145,12
"10",27,0.035824644549763,33.1658767772512,7.74607843137255,31.1764705882353,40.7807102971246,-77.8956108498403,"42027","42","027","Pennsylvania","Centre County",162385,73,1,44.9548911537396,0.0136986301369863,0.615820426763556,2
"11",29,0.0358039215686275,33.1470588235294,8.93232323232323,36.2020202020202,39.83446059,-75.76824208,"42029","42","029","Pennsylvania","Chester County",524989,796,36,151.622224465655,0.0452261306532663,6.85728653362261,0
"12",33,0.0342376237623762,31.7326732673267,NA,NA,41.1175,-78.526194,"42033","42","033","Pennsylvania","Clearfield County",79255,9,0,11.3557504258406,0,0,24
"13",41,NA,NA,8.51553398058252,33.9223300970874,40.246528,-77.18675,"42041","42","041","Pennsylvania","Cumberland County",253370,176,4,69.4636302640407,0.0227272727272727,1.57871886963729,0
"14",43,0.0310985221674877,28.7733990147783,9.26451612903226,34.2258064516129,40.2580975128205,-76.7740961324786,"42043","42","043","Pennsylvania","Dauphin County",278299,343,9,123.248736071635,0.0262390670553936,3.23393185027614,0
"15",45,0.0330188679245283,30.5849056603774,10.4608490566038,41.1745283018868,39.8299423333333,-75.3863243333333,"42045","42","045","Pennsylvania","Delaware County",566747,2317,77,408.82439607091,0.0332326283987915,13.5863092349849,0
"16",47,0.0395656565656566,36.5858585858586,NA,NA,41.598119,-78.767867,"42047","42","047","Pennsylvania","Elk County",29910,2,0,6.68672684720829,0,0,0
"17",49,0.0327029702970297,30.2871287128713,7.01650485436893,28.9223300970874,42.14175,-80.038611,"42049","42","049","Pennsylvania","Erie County",269728,58,0,21.5031439079369,0,0,0
"18",51,0.0339117647058823,31.3529411764706,7.43137254901961,30.6764705882353,39.917663,-79.805499,"42051","42","051","Pennsylvania","Fayette County",129274,66,3,51.0543496758822,0.0454545454545455,2.32065225799465,3
"19",55,0.03487,32.3,NA,NA,39.961111,-77.475556,"42055","42","055","Pennsylvania","Franklin County",155027,106,0,68.3751862578777,0,0,0
"20",59,0.03643,33.72,5.81666666666667,24.2777777777778,39.80933,-80.26567,"42059","42","059","Pennsylvania","Greene County",36233,24,0,66.237959870836,0,0,5
"21",63,0.0380392156862745,35.1960784313725,NA,NA,40.56333,-78.919972,"42063","42","063","Pennsylvania","Indiana County",84073,47,4,55.903797889929,0.0851063829787234,4.75777003318545,15
"22",69,0.0328428571428571,30.4095238095238,6.9,28.4485981308411,41.4548142460568,-75.6081936971609,"42069","42","069","Pennsylvania","Lackawanna County",209674,620,35,295.697129830117,0.0564516129032258,16.6925799097647,1
"23",71,0.0341435406698565,31.6411483253589,10.1047619047619,39.8190476190476,40.045226326969,-76.1964386587112,"42071","42","071","Pennsylvania","Lancaster County",545724,1113,36,203.949249070959,0.032345013477089,6.59674120984234,0
"24",73,0.0310377358490566,28.7547169811321,NA,NA,40.99584839,-80.34644186,"42073","42","073","Pennsylvania","Lawrence County",85512,60,5,70.1655907942745,0.0833333333333333,5.84713256618954,0
