Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2020,AirNow,420010001,1,0.036,ppm,33,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/2/2020,AirNow,420010001,1,0.032,ppm,30,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/3/2020,AirNow,420010001,1,0.018,ppm,17,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/4/2020,AirNow,420010001,1,0.03,ppm,28,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/5/2020,AirNow,420010001,1,0.034,ppm,31,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/6/2020,AirNow,420010001,1,0.036,ppm,33,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/7/2020,AirNow,420010001,1,0.031,ppm,29,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/8/2020,AirNow,420010001,1,0.035,ppm,32,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/9/2020,AirNow,420010001,1,0.031,ppm,29,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/10/2020,AirNow,420010001,1,0.029,ppm,27,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/11/2020,AirNow,420010001,1,0.032,ppm,30,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/12/2020,AirNow,420010001,1,0.035,ppm,32,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/13/2020,AirNow,420010001,1,0.021,ppm,19,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/14/2020,AirNow,420010001,1,0.015,ppm,14,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/15/2020,AirNow,420010001,1,0.034,ppm,31,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/16/2020,AirNow,420010001,1,0.033,ppm,31,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/17/2020,AirNow,420010001,1,0.036,ppm,33,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/18/2020,AirNow,420010001,1,0.028,ppm,26,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/19/2020,AirNow,420010001,1,0.031,ppm,29,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/21/2020,AirNow,420010001,1,0.042,ppm,39,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/22/2020,AirNow,420010001,1,0.037,ppm,34,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/23/2020,AirNow,420010001,1,0.028,ppm,26,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/24/2020,AirNow,420010001,1,0.036,ppm,33,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/25/2020,AirNow,420010001,1,0.033,ppm,31,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/26/2020,AirNow,420010001,1,0.032,ppm,30,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/27/2020,AirNow,420010001,1,0.035,ppm,32,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/28/2020,AirNow,420010001,1,0.037,ppm,34,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/29/2020,AirNow,420010001,1,0.039,ppm,36,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/30/2020,AirNow,420010001,1,0.033,ppm,31,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/31/2020,AirNow,420010001,1,0.029,ppm,27,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/1/2020,AirNow,420010001,1,0.026,ppm,24,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/2/2020,AirNow,420010001,1,0.036,ppm,33,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/3/2020,AirNow,420010001,1,0.039,ppm,36,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/4/2020,AirNow,420010001,1,0.041,ppm,38,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/5/2020,AirNow,420010001,1,0.034,ppm,31,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/6/2020,AirNow,420010001,1,0.021,ppm,19,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/7/2020,AirNow,420010001,1,0.036,ppm,33,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/8/2020,AirNow,420010001,1,0.038,ppm,35,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/9/2020,AirNow,420010001,1,0.037,ppm,34,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/10/2020,AirNow,420010001,1,0.029,ppm,27,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/11/2020,AirNow,420010001,1,0.033,ppm,31,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/12/2020,AirNow,420010001,1,0.032,ppm,30,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/13/2020,AirNow,420010001,1,0.036,ppm,33,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/14/2020,AirNow,420010001,1,0.037,ppm,34,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/15/2020,AirNow,420010001,1,0.033,ppm,31,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
