Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2020,AirNow,420010001,7,5,ug/m3 LC,21,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/2/2020,AirNow,420010001,7,7.4,ug/m3 LC,31,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/3/2020,AirNow,420010001,7,12.2,ug/m3 LC,51,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/4/2020,AirNow,420010001,7,5.9,ug/m3 LC,25,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/5/2020,AirNow,420010001,7,4.2,ug/m3 LC,18,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/6/2020,AirNow,420010001,7,7.5,ug/m3 LC,31,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/7/2020,AirNow,420010001,7,6.2,ug/m3 LC,26,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/8/2020,AirNow,420010001,7,6.1,ug/m3 LC,25,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/9/2020,AirNow,420010001,7,6.7,ug/m3 LC,28,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/10/2020,AirNow,420010001,7,8.9,ug/m3 LC,37,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
